=== AT Log start ===
file: /logs/atlog_20251224_054516.txt
[2025/12/24,05:45:16+36] RUN START
[2025/12/24,05:45:16+36] CMD: AT+CREG=0
[2025/12/24,05:45:16+36] RSP: AT+CREG=0
[2025/12/24,05:45:16+36] CMD: AT+CEREG=2
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT+CEREG=2
[2025/12/24,05:45:16+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/24,05:45:16+36] CMD: AT%SETCFG="BAND","8"
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT%SETCFG="BAND","8"
[2025/12/24,05:45:16+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/24,05:45:16+36] CMD: AT+CGATT=0
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT+CGATT=0
[2025/12/24,05:45:16+36] RSP: <DA>Q<EA><EF><F1><FF><FC><D9><BE><B5>g{<93><C6>o<FF><BD><CF>/<FC><8B><B7><97><FC><F2><F7><BC><E9><01><CB><FF>.<EB><91><FC><DD><F1>V<E3><99><FB><DF>?<F7><FD><EF><EA><F2><E7><C7>)<8B><C5><FF><FF><7F><94><F5><7F><9F><A6><8F><FD><BF><BD><FA><D8>}<BF><FB><B5><EE><FC>d<BC>i<7F><8B><FA><DA>z<7F><FE><FB>|<CB>?<E7><FC><B7><F3><F3>}<F5><FF>N<FF>v<FF><CF>z<F8>}_<EF>i<FF><B2><BD><97><DD>/<99><F7>0<BF><FF><CF><E5><FD>ws<EF><E9>w<F7><E6><F8><9E><F9><EB>~{<DD><FE><FF>_<FE><A6><DB><9F><DB><FD>}n<97><EF><BC><F1>v<DF><7F><1F><BF>zw<FD><7F><EC>v<CF><FE>;O<DA><FB><FB>2<F7><B6><7F><F9>
[2025/12/24,05:45:16+36] RSP: 4<EE><B7><BF><F5><7F><C7><1F><B6><7F><EB><8D>7w[1u<FF><EA><7F><AB>_<FF><BB><F7><DF><F7><DE><BF><DF><0E><EA><7F><DF><F3><A4><BF><FE><AE>a7<BE><DC><DB><A7><EA><DF>c<7F><D7><0B><FD><F6>M<FD><CF><BF><7F><FA>7<0F><EF><BA><DD><F4><BF>|<E7><EE><EC><F6><EB><B7><EF>z<1F><FF><DA><C7><DE>[
[2025/12/24,05:45:16+36] RSP: <E6>{o<7F><DF><EE><FB>
[2025/12/24,05:45:16+36] CMD: AT+COPS=2
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: +CEREG: 0
[2025/12/24,05:45:16+36] RSP: O;+<BA><F1><C7><86>7<DB>2%AT+COPS=2
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/24,05:45:16+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/24,05:45:16+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/24,05:45:16+36] CMD: AT+CGAUTH=1,0
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT+CGAUTH=1,0
[2025/12/24,05:45:16+36] CMD: AT+CFUN=1
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT+CFUN=1
[2025/12/24,05:45:16+36] CMD: AT+COPS=1,2,"44020"
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT+COPS=1,2,"44020"
[2025/12/24,05:45:16+36] RSP: <B7><D4><9F><D7>_<C7>n<97><91>%<E3><B6><D0><91><D3>l<8E>=<D5><93><B7>h_]<FD>,<AB><D5><EE>{<0F>|P<EF><E1><82><F3><BF><FD><F7>[<1F><FB>.<FE><1A><EF><FF><F7><F1><C4>\r<FB><A7><FF>cO<EE><E5><8E><8D><BC><D4>I<BF><E5>6<EF><9E>Ml<CF><F7><CF>u<FF><F7><DE><B1><DF>om<F7><E2><EB><FD>s[<E5><EF>s<08><FA><CD><9E><0F><E1>}<AF><AB>Te<0F>l<BE><F4><DF><DF>y<CD><FB>1<FD><85><9B>o<F2><FF>5y;g<7F><EF><BE><1C><CE><ED><FF><EF><FF><EB>}<BB><<EB><FE>kI<FD><B6>T]<7F>]G<FA><E0><F2><81><EC>}<AF>4<DF><F8><FF><FF>w<1F>I<BD><E9><BF><DF><DF><E4><F9>7<89>m<DE>}<FD><FC><FA>
[2025/12/24,05:45:16+36] RSP: <FD><04><<AA><E0><BB><12><AD><FB><F4><FA><9F>O{[Oy<F3>~r<10>lM<A2><BF><E3>n<E1><A7><AE><93><C0><BA><8F><F2>6<0C><DD><C5><BF><F0><C1><AE><DF>//y<96><DF>\<DB><ED>P<FC>oJ<08><F3><0C><B7>}<B3>|l<96><9F><92><AF><1F>5x<DB><F6><FD>[<86><CA><B5><F7><8A>(<08>*<FB><D9><7F><CB><BE><AB>3
[2025/12/24,05:45:16+36] RSP: }<FF><FF><FF><EB><FD><FF><FF><FF>
[2025/12/24,05:45:16+36] RSP: +xc<D8>K<DE>=<ED><17><8E><CF>
[2025/12/24,05:45:16+36] RSP: <F7><F6><EF><EF><EF><B7><F7><FF><FD>
[2025/12/24,05:45:16+36] RSP: <FE><FF><FE>w<FF><FF>
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: +CEREG: 2
[2025/12/24,05:45:16+36] RSP: +CEREG: 5,"409F","03917A0D",7
[2025/12/24,05:45:16+36] CMD: AT+COPS?
[2025/12/24,05:45:16+36] RSP: AT+COPS?
[2025/12/24,05:45:16+36] RSP: +COPS: 1,2,"44020",7
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] CMD: AT%PDNSET=1,"sakura","IP", "NONE","","",
[2025/12/24,05:45:16+36] RSP: AT%PDNSET=1,"sakura","IP", "NONE","","",
[2025/12/24,05:45:16+36] CMD: AT%PINGCMD=0,"192.168.5.100",3
[2025/12/24,05:45:16+36] RSP: OK
[2025/12/24,05:45:16+36] RSP: AT%PINGCMD=0,"192.168.5.100",3
